,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.0, 0.2, 0.6, 0.2)",1061.0,1821.5959022969423,1649.2211358383008,-721.9566467244003,430.68804516239106,1361.3778965207748,3119.3954071933986,6634.9828342991095
"(0.0, 0.0, 0.0, 0.2, 0.8, 0.0)",1060.0,1955.0598224374482,1704.0677432941613,-614.8024725914001,543.0739932060242,1493.5072128772736,3287.068123102188,6883.051717281342
"(0.0, 0.0, 0.0, 0.3, 0.0, 0.7)",1061.0,1444.6184110506322,1265.8814810056638,-664.6199699533754,446.381246588684,1179.4741279920872,2328.3127738489275,5470.422793196387
"(0.0, 0.0, 0.0, 0.3, 0.1, 0.6)",1059.0,1435.523344183301,1236.3921776648383,-636.9255407078344,452.4124498035899,1197.8399622601337,2301.9554709188415,5397.567918614557
"(0.0, 0.0, 0.0, 0.3, 0.2, 0.5)",1060.0,1419.6557904611286,1245.5679338430284,-652.0507397409237,437.43167578950306,1141.916679336944,2298.006505151592,5339.442228732951
"(0.0, 0.0, 0.0, 0.3, 0.3, 0.4)",1060.0,1294.3183902994533,1214.6971025943176,-735.3022841376478,329.6481318062588,1019.7789836189313,2126.6194982907637,5138.687456980551
"(0.0, 0.0, 0.0, 0.3, 0.4, 0.3)",1061.0,1359.3540253844221,1200.4757305135563,-620.6675430008036,416.9681867181789,1082.834825741833,2196.484023615085,5207.976936095412
"(0.0, 0.0, 0.0, 0.3, 0.5, 0.2)",1061.0,1441.335453987892,1233.2795073139987,-531.4930464058561,479.3050478877376,1177.3290778965857,2314.2075710325225,5324.539038670664
"(0.0, 0.0, 0.0, 0.3, 0.7, 0.0)",1059.0,1445.3909828701146,1285.7989607916547,-609.3326706886292,439.67590284347534,1140.106692790985,2359.2263123989105,5489.357455730438
"(0.0, 0.0, 0.0, 0.4, 0.0, 0.6)",1061.0,1013.2466669770936,895.4917559340616,-578.8932109597918,348.238056862574,847.9023587198317,1508.8769662352788,4560.543396969151
"(0.0, 0.0, 0.0, 0.4, 0.1, 0.5)",1059.0,880.6515218870778,828.8112948463355,-632.1551436291847,248.3585430818821,744.4233046617537,1332.3420715954744,4265.10572723861
"(0.0, 0.0, 0.0, 0.4, 0.2, 0.4)",1061.0,924.0531094599177,867.4614595017208,-624.6804501485676,275.89712093466005,770.3439884433046,1395.1490219730404,4297.022902335499
"(0.0, 0.0, 0.0, 0.4, 0.3, 0.3)",1059.0,1018.5181337891215,875.2649337014416,-522.1551968940767,367.1834066869924,873.1735344455938,1507.281948593285,4410.043309548739
"(0.0, 0.0, 0.0, 0.4, 0.4, 0.2)",1060.0,942.9931227539798,841.594631347087,-545.9969666154466,311.6277159225119,794.3352464849313,1404.0822056613129,4279.592505470257
"(0.0, 0.0, 0.0, 0.4, 0.5, 0.1)",1060.0,946.85073809814,868.7996995537167,-586.3971922541677,303.95884302399827,800.2674802538095,1423.6712251957233,4299.243151364088
"(0.0, 0.0, 0.0, 0.4, 0.6, 0.0)",1061.0,956.9656373337683,895.1511813200142,-611.3815546035767,295.2622170448303,791.9155268669128,1469.0751838684082,4323.879895687103
"(0.0, 0.0, 0.0, 0.5, 0.0, 0.5)",1060.0,574.001568152969,628.3908301564874,-1271.8901759886357,85.2326403322154,522.9377527785928,932.1442985687609,3547.64990117227
"(0.0, 0.0, 0.0, 0.5, 0.1, 0.4)",1059.0,396.5300493427215,602.2393376865166,-1454.659991542765,8.394997348163997,351.8348092989545,772.4301522713004,3243.258361852215
"(0.0, 0.0, 0.0, 0.5, 0.2, 0.3)",1061.0,438.34606252666504,608.1802810835104,-1378.9284125298,13.3714822793454,398.7499304479643,798.9552435004971,3295.7842309192056
"(0.0, 0.0, 0.0, 0.5, 0.3, 0.2)",1061.0,443.28932875621194,607.9350964499803,-1341.6498412647124,28.067772799789964,403.5876342181364,817.3059010180914,3320.266971265395
"(0.0, 0.0, 0.0, 0.5, 0.4, 0.1)",1061.0,454.12700478783097,605.1634826058755,-1286.7687434620238,28.092287029518502,410.64114707703266,813.3412263344435,3298.1715644466676
"(0.0, 0.0, 0.0, 0.5, 0.5, 0.0)",1059.0,581.6259392728437,632.6096680272186,-1106.9890127182007,86.20291090011597,511.55184173583984,947.2936561107635,3463.8317408561707
"(0.0, 0.0, 0.0, 0.6, 0.0, 0.4)",1059.0,96.85496977602953,640.4925037943452,-2114.620702297201,-170.28002068283968,173.08632149000186,526.3981493219981,2563.9092309081934
"(0.0, 0.0, 0.0, 0.6, 0.1, 0.3)",1061.0,17.753091273728533,640.2332886021119,-2153.052470637478,-255.4793529548988,99.23768328762526,444.785599472787,2447.963269095824
"(0.0, 0.0, 0.0, 0.6, 0.2, 0.2)",1060.0,0.8570487046071475,651.8893494281228,-2174.8191953912974,-294.1307512429121,92.95203204452446,438.7168346343042,2357.515025242632
"(0.0, 0.0, 0.0, 0.6, 0.4, 0.0)",1060.0,123.04015188711995,638.568184676299,-2011.1221137046814,-145.74779891967773,196.52390837669373,552.6308078765869,2512.1727814674377
"(0.0, 0.0, 0.0, 0.7, 0.0, 0.3)",1060.0,-306.54794069644544,922.2247414316405,-2917.2644213129897,-992.9580409626633,30.986076360433458,389.3054042025624,1661.861357572161
"(0.0, 0.0, 0.0, 0.7, 0.1, 0.2)",1059.0,-422.6200717194465,943.1181117240069,-3024.0340177558173,-1149.489599045075,-16.001766670520738,282.6178586857968,1464.4592029035339
"(0.0, 0.0, 0.0, 0.7, 0.3, 0.0)",1060.0,-312.5565422539441,912.6328912767831,-2888.631242752075,-975.3580605983734,13.165953159332275,366.97713029384613,1607.672921180725
"(0.0, 0.0, 0.0, 0.8, 0.0, 0.2)",1061.0,-876.1233597172813,1319.5308718504139,-3959.473671836342,-2138.805366763998,-122.59057691541966,163.29673621436814,739.5189639124674
"(0.0, 0.0, 0.0, 0.8, 0.1, 0.1)",1060.0,-843.0137938478334,1324.5951260155584,-3929.3631558660054,-2126.1913868545926,-74.32565903441355,207.8644251424148,773.0273338231164
"(0.0, 0.0, 0.0, 0.8, 0.2, 0.0)",1060.0,-764.761155708331,1293.8472563792877,-3832.8046531677246,-2000.483134508133,-10.828710079193115,264.0789130926132,806.7372970581055
"(0.0, 0.0, 0.0, 0.9, 0.0, 0.1)",1061.0,-1258.700213053899,1710.6656245342729,-4924.802844178666,-3053.247743536791,-157.79251287711304,108.39908307731093,534.7945551269167
"(0.0, 0.0, 0.0, 0.9, 0.1, 0.0)",1059.0,-1242.9518735046315,1707.795553138013,-4923.394785404205,-3034.4836864471436,-129.39287042617798,124.24476742744446,567.5362300872803
