,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.1, 0.1, 0.0, 0.8)",1059.0,-0.014474381769931838,0.016266666130236373,-0.13289703327829328,-0.021965898371312687,-0.010079492997908796,-0.001021001772372931,0.0
"(0.0, 0.0, 0.1, 0.1, 0.1, 0.7)",1060.0,-0.012527916999931533,0.013633281788235361,-0.09756428091450649,-0.019052783740374238,-0.008634418715225314,-0.0006275442174703824,0.0
"(0.0, 0.0, 0.1, 0.1, 0.2, 0.6)",1061.0,-0.014686893717168715,0.017032175672961544,-0.12569935261390025,-0.022254908594201612,-0.009620870682246421,-0.0011110977969746977,0.0
"(0.0, 0.0, 0.1, 0.1, 0.3, 0.5)",1061.0,-0.013614670800198621,0.01556922604931196,-0.12168959767146752,-0.02087093510849846,-0.009117978449460959,-0.0010842242415458703,0.0
"(0.0, 0.0, 0.1, 0.1, 0.4, 0.4)",1060.0,-0.01511550084104511,0.016633646127547728,-0.11777132157831356,-0.023567687192883123,-0.009703483915274213,-0.0016822873040011582,0.0
"(0.0, 0.0, 0.1, 0.1, 0.5, 0.3)",1060.0,-0.013704300357098643,0.015566175766910962,-0.1101334816436137,-0.021751581190830066,-0.008434874628374465,-0.0008621265707989352,0.0
"(0.0, 0.0, 0.1, 0.1, 0.6, 0.2)",1060.0,-0.0132984117262331,0.014014775720963742,-0.06913955185489225,-0.02098398137857967,-0.009197443184845697,-0.001336413563593603,0.0
"(0.0, 0.0, 0.1, 0.1, 0.8, 0.0)",1061.0,-0.013472824091341257,0.015120271428390668,-0.08003328787312874,-0.021297338102442585,-0.008606011541254857,-0.0008483193903772832,0.0
"(0.0, 0.0, 0.1, 0.2, 0.0, 0.7)",1061.0,-0.01148315350681063,0.013610942850917455,-0.10164201078356616,-0.01772803688414538,-0.00696557379572693,-0.0001731940993256433,0.0
"(0.0, 0.0, 0.1, 0.2, 0.1, 0.6)",1060.0,-0.011983047827827335,0.01343883265115223,-0.10117086734432373,-0.019773684647340542,-0.0075325042193646885,-0.0005405333359985516,0.0
"(0.0, 0.0, 0.1, 0.2, 0.2, 0.5)",1061.0,-0.013286662466136212,0.01490301138995312,-0.07097108768443394,-0.020046560281829176,-0.00843997405372851,-0.0009545478782749532,0.0
