,count,mean,std,min,25%,50%,75%,max
"(0.0, 0.0, 0.2, 0.1, 0.0, 0.7)",1060.0,4.741940734510619,3.387800783270771,-4.387268326027677,2.368081138398722,4.551890205238571,7.297552878019088,17.61956068264769
"(0.0, 0.0, 0.2, 0.1, 0.1, 0.6)",1061.0,4.880954407563686,3.2635097856233433,-3.863113306253067,2.5595286315568195,4.73055187622873,7.261209612634101,17.962654858349484
"(0.0, 0.0, 0.2, 0.1, 0.2, 0.5)",1060.0,5.1926760965751475,3.3976744717518583,-2.6092069073557496,2.780285085504471,4.880173775444676,7.767423095981708,17.838883616017633
"(0.0, 0.0, 0.2, 0.1, 0.3, 0.4)",1061.0,4.770310360847114,3.2679854187107633,-3.6132871853282733,2.468760581840255,4.598697046222359,7.151543147519876,17.751341148250084
"(0.0, 0.0, 0.2, 0.1, 0.4, 0.3)",1059.0,4.631720900444569,3.22586217661086,-3.533526629211972,2.321195440285022,4.489227875822493,7.003811010638367,17.463831088391967
"(0.0, 0.0, 0.2, 0.1, 0.5, 0.2)",1059.0,4.959718785368864,3.208025933754391,-2.5830328218524663,2.6307211556006402,4.74939394068254,7.350374258280315,17.95440140300258
"(0.0, 0.0, 0.2, 0.1, 0.6, 0.1)",1060.0,4.798166219840948,3.289233269827701,-2.9345258519345885,2.4121623004545136,4.654519428441724,7.315008637801908,17.28847620597158
"(0.0, 0.0, 0.2, 0.1, 0.7, 0.0)",1060.0,5.4970367199238375,3.3178824500170836,-1.978371556427159,3.1024949611332096,5.22593939579747,7.966416462320758,18.326708913431673
"(0.0, 0.0, 0.2, 0.2, 0.0, 0.6)",1061.0,3.9111965313913832,2.820942265605901,-3.55040999704139,1.8899086157779503,3.4578342543832146,5.7150448311618485,15.221116750020421
"(0.0, 0.0, 0.2, 0.2, 0.1, 0.5)",1061.0,3.6014878455802735,2.7931596805262204,-3.593408539675024,1.5934703480869759,3.237698963480268,5.455304237771188,14.756532800465417
"(0.0, 0.0, 0.2, 0.2, 0.2, 0.4)",1061.0,3.498404392231956,2.8087359421614897,-3.758962365279107,1.4257780792128276,3.1162774104544106,5.378135445781815,14.799181029386727
"(0.0, 0.0, 0.2, 0.2, 0.3, 0.3)",1059.0,3.463444429853188,2.7691232824919476,-3.1884586286372403,1.4336646062014817,3.085043869436987,5.304832519014932,14.27796453263525
"(0.0, 0.0, 0.2, 0.2, 0.4, 0.2)",1061.0,3.5990419069928272,2.768837216845294,-3.5385766009599267,1.6308628267213257,3.2859356421899784,5.414501178615148,14.492685411028688
"(0.0, 0.0, 0.2, 0.2, 0.5, 0.1)",1060.0,3.8117332977697695,2.8116898752999036,-2.8138506641593866,1.823260736115849,3.3978305281424634,5.57755086120579,14.807964996536302
"(0.0, 0.0, 0.2, 0.2, 0.6, 0.0)",1061.0,3.785167986326607,2.7997858890945104,-2.2477666277180113,1.7253963357033468,3.3602433726930974,5.585368945925445,14.766663519710772
"(0.0, 0.0, 0.2, 0.3, 0.0, 0.5)",1059.0,2.2300769898840267,2.5919929610776027,-4.094022107508509,0.5088748356178067,1.9833132127479058,3.7285469516260266,11.622871229849688
"(0.0, 0.0, 0.2, 0.3, 0.1, 0.4)",1059.0,2.350453241874527,2.5959650277141604,-3.8651448692420076,0.6129013714295908,2.1361448637494034,3.737055821459797,11.741975977297663
"(0.0, 0.0, 0.2, 0.3, 0.2, 0.3)",1061.0,2.7280055134391867,2.691249961397921,-3.4724135257776982,0.8937605560535808,2.4729815164692295,4.025235471122427,11.933764256872038
"(0.0, 0.0, 0.2, 0.3, 0.3, 0.2)",1061.0,2.5019189026974615,2.620632283616636,-3.546264222945308,0.6762020318953115,2.257381702598776,3.877462318104847,11.882335658384388
"(0.0, 0.0, 0.2, 0.3, 0.4, 0.1)",1059.0,2.4728645132296165,2.6054478606307705,-3.565672670823311,0.7226001562308426,2.273885609576347,3.890254746185291,11.61049884661804
"(0.0, 0.0, 0.2, 0.3, 0.5, 0.0)",1060.0,2.7280315476505534,2.599269308853534,-3.179926267415898,0.8836301846622514,2.504661623285423,4.176235763125501,11.974773614323452
"(0.0, 0.0, 0.2, 0.4, 0.0, 0.4)",1059.0,0.9402084191260222,2.692423932538582,-6.073178518979819,-0.9103770493926323,0.9807239899358533,2.5133118446869815,8.829946809508876
